ID,WEEK,DAY,HOUR,MINUTE,WAIT,SOURCE,TARGET
32249,1,4,10,55,0,7838,153279
2972,1,4,10,56,1,110502,7343
14989,1,4,10,56,0,216749,227243
25086,1,4,10,56,0,151369,151376
36845,1,4,10,56,0,215527,175314
542,1,4,10,57,1,2144,144684
17140,1,4,10,58,1,32852,166740
49158,1,4,10,58,0,238381,137837
49817,1,4,10,58,0,215527,159370
54349,1,4,10,58,0,9432,162379
17659,1,4,10,59,1,235601,2144
19519,1,4,10,59,0,215527,139221
23798,1,4,10,59,0,144598,12598
45534,1,4,10,59,0,218577,158839
51778,1,4,10,59,0,216749,196744
14034,1,4,11,0,1,12815,215710
25305,1,4,11,1,1,40216,239937
55299,1,4,11,1,0,78645,214394
46230,1,4,11,2,1,4712,173403
88,1,4,11,4,2,173144,8219
43860,1,4,11,4,0,157908,199204
29334,1,4,11,5,1,11699,9983
14952,1,4,11,6,1,1048,202510
6716,1,4,11,9,3,101268,213037
7866,1,4,11,10,1,153489,231850
17452,1,4,11,10,0,42972,153342
41483,1,4,11,10,0,110502,8413
47978,1,4,11,11,1,235120,4631
35941,1,4,11,12,1,212005,18697
38474,1,4,11,12,0,2148,1857
17269,1,4,11,13,1,167633,175007
45865,1,4,11,13,0,162328,153494
9040,1,4,11,14,1,167629,147777
11604,1,4,11,14,0,5645,110502
27078,1,4,11,14,0,166872,1527
38821,1,4,11,14,0,215527,105108
21041,1,4,11,15,1,215527,227672
28234,1,4,11,15,0,9983,1569
40507,1,4,11,15,0,215527,155212
7426,1,4,11,16,1,199113,106166
9353,1,4,11,16,0,212005,166551
32708,1,4,11,16,0,6330,5616
4571,1,4,11,17,1,215527,173117
35350,1,4,11,17,0,213221,231755
4222,1,4,11,19,2,162328,216006
18330,1,4,11,19,0,151514,137083
39770,1,4,11,20,1,78649,208293
50554,1,4,11,20,0,215527,167644
2035,1,4,11,21,1,235705,162320
29765,1,4,11,21,0,219517,226254
39264,1,4,11,21,0,199757,226394
8164,1,4,11,22,1,215527,209480
15330,1,4,11,23,1,199325,8221
45187,1,4,11,23,0,167633,233837
46746,1,4,11,23,0,166707,1574
685,1,4,11,24,1,161866,199728
9127,1,4,11,26,2,2729,9683
12398,1,4,11,26,0,159139,162450
22092,1,4,11,26,0,241140,8590
39348,1,4,11,27,1,136905,161007
44355,1,4,11,27,0,199757,199755
11437,1,4,11,28,1,106685,13721
13103,1,4,11,28,0,146968,136941
54350,1,4,11,28,0,11344,2732
46337,1,4,11,30,2,149314,5456
26716,1,4,11,31,1,236972,148285
10535,1,4,11,33,2,136901,166699
33099,1,4,11,33,0,215527,227304
3538,1,4,11,34,1,167641,241133
22686,1,4,11,34,0,9860,224590
9705,1,4,11,35,1,131532,7955
2474,1,4,11,36,1,215527,9775
3092,1,4,11,36,0,167747,173403
12791,1,4,11,37,1,5741,170471
1393,1,4,11,38,1,9472,153442
